Time;SerGo;SolarStation;Buka;Hohla;Valera
10.04.2025 23:29;145;296;496;508;512
10.04.2025 23:30;541;298;493;510;509
10.04.2025 23:31;541;199;494;508;506
10.04.2025 23:32;541;294;489;506;504
10.04.2025 23:33;541;223;486;503;504
10.04.2025 23:34;541;293;487;503;501
10.04.2025 23:35;541;294;490;507;505
10.04.2025 23:36;541;199;493;508;506
10.04.2025 23:37;541;174;319;352;512
10.04.2025 23:38;541;195;488;505;504
10.04.2025 23:39;541;219;485;504;505
10.04.2025 23:40;545;218;482;503;504
10.04.2025 23:42;545;218;482;502;503
10.04.2025 23:43;545;288;482;504;503
10.04.2025 23:44;545;194;484;503;502
10.04.2025 23:45;546;282;484;502;504
10.04.2025 23:46;545;288;482;504;503
10.04.2025 23:47;545;217;482;502;503
10.04.2025 23:48;545;217;482;498;499
10.04.2025 23:49;544;299;484;499;498
10.04.2025 23:50;544;294;502;498;497
10.04.2025 23:51;549;246;498;496;491
10.04.2025 23:52;548;206;433;412;381
10.04.2025 23:53;548;206;432;412;381
10.04.2025 23:54;547;169;455;418;389
10.04.2025 23:55;547;213;442;421;393
10.04.2025 23:56;547;177;431;420;400
10.04.2025 23:57;547;211;437;407;397
10.04.2025 23:58;547;168;442;406;377
10.04.2025 23:59;546;168;454;418;389
11.04.2025 0:00;547;169;428;417;398
11.04.2025 0:01;552;203;437;419;392
11.04.2025 0:02;552;203;437;419;392
11.04.2025 0:03;552;160;451;417;388
11.04.2025 0:04;552;203;437;419;392
11.04.2025 0:05;552;158;449;415;386
11.04.2025 0:06;552;158;449;415;386
11.04.2025 0:07;552;167;422;412;392
11.04.2025 0:08;552;158;449;414;386
11.04.2025 0:09;552;167;424;414;394
11.04.2025 0:10;552;158;446;409;383
11.04.2025 0:11;553;151;414;399;405
11.04.2025 0:12;553;146;434;398;392
11.04.2025 0:13;552;181;417;399;392
11.04.2025 0:14;552;180;417;398;391
11.04.2025 0:15;552;151;412;397;403
11.04.2025 0:16;552;180;418;401;394
11.04.2025 0:17;552;146;430;395;389
11.04.2025 0:18;552;173;415;391;401
11.04.2025 0:19;552;180;418;401;394
11.04.2025 0:20;552;177;438;400;393
11.04.2025 0:21;551;136;423;373;365
11.04.2025 0:22;551;176;436;397;390
11.04.2025 0:23;551;148;430;395;402
11.04.2025 0:24;551;143;445;395;388
11.04.2025 0:25;551;177;438;399;392
11.04.2025 0:26;551;135;418;366;359
11.04.2025 0:27;551;143;438;388;381
11.04.2025 0:28;551;143;443;393;386
11.04.2025 0:29;551;148;428;395;402
11.04.2025 0:30;559;143;445;395;388
11.04.2025 0:31;556;170;434;389;400
11.04.2025 0:32;556;147;427;394;402
11.04.2025 0:33;555;137;433;472;381
11.04.2025 0:34;555;171;424;472;385
11.04.2025 0:35;554;142;416;470;393
11.04.2025 0:36;556;165;422;466;390
11.04.2025 0:37;555;142;414;468;391
11.04.2025 0:38;555;136;429;469;379
11.04.2025 0:39;556;163;418;462;388
11.04.2025 0:40;556;169;420;471;382
11.04.2025 0:41;556;169;420;468;383
11.04.2025 0:42;556;136;427;467;380
11.04.2025 0:43;556;169;420;468;383
11.04.2025 0:44;556;136;426;466;378
11.04.2025 0:45;556;136;426;466;377
11.04.2025 0:46;556;163;414;460;384
11.04.2025 0:47;556;136;424;462;376
11.04.2025 0:48;556;141;411;461;388
11.04.2025 0:49;556;155;409;452;400
11.04.2025 0:50;556;129;418;458;386
11.04.2025 0:51;557;135;421;460;388
11.04.2025 0:52;557;164;413;461;392
11.04.2025 0:53;557;135;419;458;386
11.04.2025 0:54;557;139;405;458;402
11.04.2025 0:55;557;139;405;458;402
11.04.2025 0:56;557;164;413;461;392
11.04.2025 0:57;557;139;404;457;401
11.04.2025 0:58;557;164;413;461;392
11.04.2025 0:59;557;164;413;461;392
11.04.2025 1:00;558;163;408;458;388
11.04.2025 1:01;557;137;399;455;397
11.04.2025 1:02;557;161;403;455;383
11.04.2025 1:03;557;159;402;447;395
11.04.2025 1:04;557;166;406;447;400
11.04.2025 1:05;557;169;411;456;389
11.04.2025 1:06;557;148;417;453;385
11.04.2025 1:07;557;88;423;454;397
11.04.2025 1:08;557;107;413;450;409
11.04.2025 1:09;557;107;413;450;409
11.04.2025 1:10;557;88;421;453;396
11.04.2025 1:11;557;95;410;455;408
11.04.2025 1:12;557;109;417;457;398
11.04.2025 1:13;557;86;405;440;380
11.04.2025 1:14;557;84;387;430;397
11.04.2025 1:15;557;81;408;442;397
11.04.2025 1:16;557;99;398;438;404
11.04.2025 1:17;557;101;401;444;403
11.04.2025 1:18;557;99;397;438;403
11.04.2025 1:19;557;71;402;447;392
11.04.2025 1:20;558;86;395;447;398
11.04.2025 1:21;558;85;394;443;397
11.04.2025 1:22;1075;92;394;449;404
11.04.2025 1:23;1075;85;394;443;397
11.04.2025 1:24;1074;75;390;447;400
11.04.2025 1:25;1073;71;397;443;388
11.04.2025 1:26;1073;85;392;443;395
11.04.2025 1:28;1073;85;392;443;395
11.04.2025 1:29;1067;74;389;445;398
11.04.2025 1:30;1069;71;399;445;390
