Time,SolarStation,Buka,Hohla,Valera
2025-04-20 21:54:21,249,286,187,265
2025-04-20 21:55:22,279,347,288,285
2025-04-20 21:56:22,324,480,203,171
2025-04-20 21:57:23,328,409,340,336
2025-04-20 21:58:23,327,407,339,335
2025-04-20 21:59:24,327,407,339,335
2025-04-20 22:00:24,319,473,199,167
2025-04-20 22:01:25,324,404,336,332
2025-04-20 22:02:25,319,472,199,167
2025-04-20 22:03:26,318,471,198,166
2025-04-20 22:04:26,245,282,184,261
2025-04-20 22:05:26,260,534,435,268
2025-04-20 22:06:27,261,536,436,269
2025-04-20 22:07:27,245,533,395,521
2025-04-20 22:08:28,232,520,450,493
2025-04-20 22:09:28,226,519,453,509
2025-04-20 22:10:29,174,495,443,494
2025-04-20 22:11:29,214,510,537,499
2025-04-20 22:12:30,213,510,537,499
2025-04-20 22:13:30,213,510,537,499
2025-04-20 22:14:31,221,510,535,472
2025-04-20 22:15:31,221,508,532,471
2025-04-20 22:16:32,221,510,535,472
2025-04-20 22:17:32,164,481,528,479
2025-04-20 22:18:33,212,507,533,496
2025-04-20 22:19:33,212,508,534,497
2025-04-20 22:20:34,212,507,533,496
2025-04-20 22:21:34,220,505,530,467
2025-04-20 22:22:35,163,482,531,480
2025-04-20 22:23:35,162,471,516,469
2025-04-20 22:24:36,196,509,521,439
2025-04-20 22:25:36,187,500,512,464
2025-04-20 22:26:37,147,503,522,455
2025-04-20 22:27:37,195,509,521,439
2025-04-20 22:28:38,195,507,520,438
2025-04-20 22:29:38,147,498,520,450
2025-04-20 22:30:39,145,484,506,441
2025-04-20 22:31:40,147,495,518,450
2025-04-20 22:32:40,195,502,518,436
2025-04-20 22:33:41,175,487,514,444
2025-04-20 22:34:41,127,526,504,416
2025-04-20 22:35:42,168,529,502,395
2025-04-20 22:36:43,140,539,478,398
2025-04-20 22:37:44,140,538,475,364
2025-04-20 22:38:44,139,538,475,393
2025-04-20 22:39:45,139,538,475,393
2025-04-20 22:40:45,102,528,468,373
2025-04-20 22:41:46,139,535,474,392
2025-04-20 22:42:46,97,543,467,365
2025-04-20 22:43:47,97,544,466,366
2025-04-20 22:44:47,119,543,453,333
2025-04-20 22:45:48,114,542,456,368
2025-04-20 22:46:49,112,544,455,366
2025-04-20 22:47:49,112,544,455,367
2025-04-20 22:48:50,117,541,451,332
2025-04-20 22:49:50,87,547,438,337
2025-04-20 22:50:51,87,545,438,337
2025-04-20 22:51:51,63,549,506,305
2025-04-20 22:52:52,80,549,496,297
2025-04-20 22:53:52,79,549,495,293
2025-04-20 22:54:53,78,549,493,275
2025-04-20 22:55:53,57,548,491,282
2025-04-20 22:56:54,77,547,490,269
2025-04-20 22:57:55,57,549,489,277
2025-04-20 22:58:55,79,549,493,287
2025-04-20 22:59:56,72,549,479,252
2025-04-20 23:00:56,73,548,480,252
2025-04-20 23:01:57,73,548,481,252
2025-04-20 23:02:57,74,546,480,259
2025-04-20 23:03:58,52,548,480,253
2025-04-20 23:04:58,52,548,480,253
2025-04-20 23:05:59,73,548,479,247
2025-04-20 23:07:00,71,548,472,247
2025-04-20 23:08:01,17,548,477,290
2025-04-20 23:09:01,261,548,495,374
2025-04-20 23:10:02,71,547,469,247
2025-04-20 23:11:02,63,542,435,222
2025-04-20 23:12:03,63,548,463,230
2025-04-20 23:13:03,63,548,463,230
2025-04-20 23:14:04,63,548,462,230
2025-04-20 23:15:04,63,548,462,229
2025-04-20 23:16:05,61,541,432,229
2025-04-20 23:17:05,63,548,462,229
2025-04-20 23:18:06,48,548,459,233
